FECHA;CUENTA;CONCEPTO;IMPORTE;DESCRIPCIÓN
13/02/2025;"Santander";"Ocio";-24,50;"TAXI AVE A SAB"
13/02/2025;"TradeRepublic";TRASPASO;-1000,00;"TRASPASO"
13/02/2025;"TradeRepublicFondo";TRASPASO;1000,00;"TRASPASO"
13/02/2025;"Santander";TRASPASO;-50,00;"TRASPASO"
13/02/2025;"Degiro";TRASPASO;50,00;"TRASPASO"
14/02/2025;"Santander";"Luz";-13,18;"LUZ"
14/02/2025;"Tarjeta";"Regalos";-234,34;"MINIPC N-ONE AIR"
14/02/2025;"Sabadell";"Intereses";2,22;"INTERESES"
14/02/2025;"Santander";"Comida";-123,55;"CARREFOUR"
14/02/2025;"Tarjeta";TRASPASO;-100,00;"TRASPASO"
14/02/2025;"Revolut";TRASPASO;100,00;"TRASPASO"
15/02/2025;"Bit2me";TRASPASO;-1500,00;"TRASPASO"
15/02/2025;"Criptan";TRASPASO;1500,00;"TRASPASO"
15/02/2025;"Santander";"Deporte";-14,00;"PÁDEL"
17/02/2025;"Ing";TRASPASO;-205,44;"TRASPASO"
17/02/2025;"Degiro";TRASPASO;205,44;"TRASPASO"
17/02/2025;"Santander";"Varioscoche";-29,95;"SANDERO BOMBILLA DCHA"
17/02/2025;"Myinvestor";TRASPASO;-320,00;"TRASPASO"
17/02/2025;"MyinvestorFondo";TRASPASO;320,00;"TRASPASO"
17/02/2025;"Naranja";TRASPASO;-320,00;"TRASPASO"
17/02/2025;"Myinvestor";TRASPASO;320,00;"TRASPASO"
17/02/2025;"TradeRepublic";TRASPASO;-1500,00;"TRASPASO"
17/02/2025;"Ing";TRASPASO;1500,00;"TRASPASO"
17/02/2025;"Santander";"Medicamentos";-11,60;"PHARMATUSGRIP"
17/02/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
17/02/2025;"TradeRepublic";TRASPASO;-1000,30;"TRASPASO"
17/02/2025;"TradeRepublicFondo";TRASPASO;1000,30;"TRASPASO"
18/02/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
19/02/2025;"TradeRepublic";"Intereses";0,18;"DIVIDENCO ASML"
19/02/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
19/02/2025;"Ing";TRASPASO;-500,00;"TRASPASO"
19/02/2025;"Civislend";TRASPASO;500,00;"TRASPASO"
19/02/2025;"Santander";"Combustible";-76,00;"GASOLINA"
19/02/2025;"Ing";TRASPASO;-500,00;"TRASPASO"
19/02/2025;"Housers";TRASPASO;500,00;"TRASPASO"
19/02/2025;"Ing";TRASPASO;-525,00;"TRASPASO"
19/02/2025;"Sabadell";TRASPASO;525,00;"TRASPASO"
20/02/2025;"Santander";"Ocio";-1,30;"ALMUERZO"
21/02/2025;"Santander";"Ocio";-3,80;"ALMUERZO"
22/02/2025;"Tarjeta";"Combustible";-60,00;"GASOIL"
22/02/2025;"Tarjeta";"Comida";-74,24;"MERCADONA"
24/02/2025;"Sabadell";TRASPASO;-300,00;"TRASPASO"
24/02/2025;"TradeRepublic";TRASPASO;300,00;"TRASPASO"
24/02/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
24/02/2025;"Tarjeta";TRASPASO;-1000,00;"TRASPASO"
24/02/2025;"Criptan";TRASPASO;1000,00;"TRASPASO"
24/02/2025;"Santander";"Regalos";-70,00;"GELA"
25/02/2025;"Sabadell";"Intereses";-100,00;"PERDIDA REINVEST24"
25/02/2025;"Tarjeta";"Otros gastos";-20,33;"MEMORIA 16GB DDR4"
25/02/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
26/02/2025;"Sabadell";"Nómina";1973,17;"FEBRERO"
26/02/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
26/02/2025;"Tarjeta";"Comida";-6,05;"COMIDA"
27/02/2025;"Santander";"Comunidad";-45,86;"COMUNIDAD"
27/02/2025;"Santander";"Comunidad";-35,88;"COMUNIDAD"
27/02/2025;"TradeRepublic";TRASPASO;-1000,00;"TRASPASO"
27/02/2025;"Sabadell";TRASPASO;1000,00;"TRASPASO"
27/02/2025;"Tarjeta";"Ocio";-1,30;"ALMUERZO"
28/02/2025;"Sabadell";TRASPASO;-1968,58;"TRASPASO"
28/02/2025;"Tarjeta";TRASPASO;1968,58;"TRASPASO"
28/02/2025;"Sabadell";TRASPASO;-1378,24;"TRASPASO"
28/02/2025;"Tarjeta";TRASPASO;1378,24;"TRASPASO"
28/02/2025;"Tarjeta";"Ocio";-7,20;"ALMUERZO"
28/02/2025;"Myinvestor";TRASPASO;-5000,00;"TRASPASO"
28/02/2025;"Sabadell";TRASPASO;5000,00;"TRASPASO"
01/03/2025;"Santander";"Alquiler";800,00;"MARZO"
01/03/2025;"Tarjeta";"Comida";-120,20;"CARREFOUR"
01/03/2025;"TradeRepublic";"Intereses";5,93;"INTERESES"
01/03/2025;"Naranja";"Intereses";0,69;"INTERESES"
02/03/2025;"Tarjeta";"Deporte";-7,00;"PÁDEL"
02/03/2025;"Tarjeta";"Variosvivienda";-20,88;"VARIOS VIVIENDA"
