id,fecha,descripcion,cantidad,tipo,cuenta,concepto,cuenta_origen,cuenta_destino
id_1751070982012_uwaj4fgmu,2025-01-18,Hotel Ibis Málaga,"-225,73",movimiento,N-Naranja,Ocio,,
id_1751070982012_2qhsu4583,2025-01-18,Tren Málaga,"-245,88",movimiento,N-Naranja,Ocio,,
id_1751070982012_w48hc54ow,2025-01-18,CARREFOUR,"-111,87",movimiento,D-Santander,Comida,,
id_1751070982012_9a7zhdyqs,2025-01-20,TRASPASO,"1000,00",traspaso,,,D-TradeRepublic,D-InteractiveBrokers
id_1751070982012_kqlwzb1kh,2025-01-20,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_9alv7xjn2,2025-01-20,TRASPASO,"1928,70",traspaso,,,D-TradeRepublic,D-Ing
id_1751070982012_qz8xscvs5,2025-01-19,Bar,"-5,60",movimiento,N-Tarjeta,Ocio,,
id_1751070982012_zb069ovac,2025-01-20,Caminito del Rey,"-39,00",movimiento,N-Naranja,Ocio,,
id_1751070982012_lrlbdegx1,2025-01-21,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_163c0dh1y,2025-01-21,Gafas sol Optica Palau,"-175,00",movimiento,N-Tarjeta,Vestir,,
id_1751070982012_e7rdg4pkt,2025-01-21,Aigua,"-0,60",movimiento,N-Efectivo,Comida,,
id_1751070982012_1kazs6ydq,2025-01-22,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_eassi8kb2,2025-01-22,TRASPASO,"1928,70",traspaso,,,D-Ing,D-InteractiveBrokers
id_1751070982012_855jkvauv,2025-01-22,Pago tío ulleres sol,"175,00",movimiento,N-Santander,Medicamentos,,
id_1751070982012_1i131mpr0,2025-01-22,Esmorzar,"-4,60",movimiento,N-Efectivo,Comida,,
id_1751070982012_39utp9qww,2025-01-22,Atida Hylo Gel 2 unid,"-29,36",movimiento,N-Santander,Medicamentos,,
id_1751070982012_mv5irxzx3,2025-01-22,Neteja Yine,"-33,00",movimiento,N-Efectivo,Otros gastos,,
id_1751070982012_4915tqdme,2025-01-22,TRASPASO,"1000,00",traspaso,,,N-Naranja,N-TradeRepublic
id_1751070982012_uum1p0f92,2025-01-23,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_aie3f1sxj,2025-01-23,TRASPASO,"500,00",traspaso,,,D-Tarjeta,D-Revolut
id_1751070982012_jf6g14vl9,2025-01-23,Polen Herb Marina,"-16,50",movimiento,N-Tarjeta,Comida,,
id_1751070982012_u0hosvav2,2025-01-23,Puzzle Vinted,"8,00",movimiento,N-Naranja,Otros ingresos,,
id_1751070982012_a639xz0wv,2025-01-24,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_w6cow44ak,2025-01-24,Depil Irena,"-5,00",movimiento,N-Efectivo,Peluquería,,
id_1751070982012_78m59uhqr,2025-01-24,Taronges,"-5,00",movimiento,N-Efectivo,Comida,,
id_1751070982012_d5gmdozgp,2025-01-25,Gasoil,"-54,00",movimiento,N-Tarjeta,Combustible,,
id_1751070982012_lojnqjzys,2025-01-25,MERCADONA,"-92,13",movimiento,D-Tarjeta,Comida,,
id_1751070982012_ginwz6tg1,2025-01-26,MESA Y VARIOS,"-47,72",movimiento,D-Tarjeta,Variosvivienda,,
id_1751070982012_fnmj61rdf,2025-01-26,PÁDEL,"-6,00",movimiento,D-Tarjeta,Deporte,,
id_1751070982012_dk8eyl3ne,2025-01-27,COMUNIDAD,"-35,88",movimiento,D-Santander,Comunidad,,
id_1751070982012_doth1x8ql,2025-01-27,COMUNIDAD,"-45,86",movimiento,D-Santander,Comunidad,,
id_1751070982012_mm09dtmip,2025-01-27,ALMUERZO,"-1,20",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_5ty82mduc,2025-01-27,TRASPASO,"5000,00",traspaso,,,D-TradeRepublic,D-Coinbase
id_1751070982012_3vjypdppy,2025-01-27,Esmorzar,"-1,30",movimiento,N-Efectivo,Comida,,
id_1751070982012_aj6gjua7o,2025-01-28,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_qhipde1ec,2025-01-28,NÓMINA,"1952,33",movimiento,D-Sabadell,Nómina,,
id_1751070982012_tb4ixr31r,2025-01-28,Corretja Viceroy,"-12,00",movimiento,N-Tarjeta,Vestir,,
id_1751070982012_bptrg1j6s,2025-01-28,Toalles mercat,"-13,00",movimiento,N-Efectivo,Variosvivienda,,
id_1751070982012_ls1h2pem3,2025-01-28,TRASPASO,"300,00",traspaso,,,D-Sabadell,D-Coinbase
id_1751070982012_y02ziqy0r,2025-01-29,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_h1hoddgjq,2025-01-29,TRASPASO,"100,00",traspaso,,,D-Tarjeta,D-Coinbase
id_1751070982012_cjykluqhq,2025-01-29,Esmorzar,"-1,40",movimiento,N-Efectivo,Comida,,
id_1751070982012_iqk7jyw8r,2025-01-29,TRASPASO,"130,00",traspaso,,,N-Santander,N-Efectivo
id_1751070982012_vsh55u3yx,2025-01-29,NÓMINA,"1955,54",movimiento,N-Sabadell,Nómina,,
id_1751070982012_1x4uqmha6,2025-01-29,Hilaturas Torrijo Lanas Mama,"-45,99",movimiento,N-Naranja,Otros gastos,,
id_1751070982012_ynr6hys22,2025-01-29,Chaleco Z&H,"-17,99",movimiento,N-Tarjeta,Vestir,,
id_1751070982012_5arwmvdrd,2025-01-29,Taronges,"-5,00",movimiento,N-Efectivo,Comida,,
id_1751070982012_65dj6ogss,2025-01-29,TRASPASO,"1652,33",traspaso,,,D-Sabadell,D-TradeRepublic
id_1751070982012_mckfdehyb,2025-01-30,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_cq7myvylm,2025-01-30,VARIOSVIVIENDA,"-21,36",movimiento,D-Tarjeta,Variosvivienda,,
id_1751070982012_i76yrofnz,2025-01-30,DIVIDENDO  S&P SMALLCAP,"0,59",movimiento,D-TradeRepublic,Intereses,,
id_1751070982012_fvd8inhmn,2025-01-30,Aigua,"-0,60",movimiento,N-Efectivo,Comida,,
id_1751070982012_2x3qm1w72,2025-01-31,TRASPASO,"691,20",traspaso,,,N-Santander,N-Tarjeta
id_1751070982012_ecm35esge,2025-01-30,TRASPASO,"200,00",traspaso,,,D-Santander,D-Revolut
id_1751070982012_20o3pxpim,2025-01-31,TRASPASO,"1285,75",traspaso,,,D-Sabadell,D-Tarjeta
id_1751070982012_85pqzv5zg,2025-01-31,ALMUERZO,"-1,30",movimiento,D-Tarjeta,Ocio,,
id_1751070982012_mc6pmvgb9,2025-01-31,TRASPASO,"322,99",traspaso,,,D-Santander,D-Sabadell
id_1751070982012_3zluorgtf,2025-01-31,TRASPASO,"500,00",traspaso,,,D-TradeRepublic,D-Sabadell
id_1751070982012_0aoulh8gp,2025-01-31,Esmorzar,"-4,50",movimiento,N-Efectivo,Comida,,
id_1751070982012_nyw89c1dq,2025-01-31,TRASPASO,"1000,00",traspaso,,,N-Sabadell,N-Santander
id_1751070982012_29vjmhqj9,2025-01-31,PÁDEL,"-9,75",movimiento,D-Tarjeta,Deporte,,
id_1751070982012_ddi5lvist,2025-02-01,INTERESES,"0,01",movimiento,D-Naranja,Intereses,,
id_1751070982012_cl3hx7u82,2025-02-01,FEBRERO,"800,00",movimiento,D-Santander,Alquiler,,
id_1751070982012_kqv0favre,2025-02-01,INTERESES,"42,51",movimiento,D-TradeRepublic,Intereses,,
id_1751070982012_xn0xtj38v,2025-01-31,Pallardó,"-80,00",movimiento,N-Efectivo,Higiene,,
